id;employee_code;username;hash_password;name;phone;email;note;status;is_active
1;consequently recap after;extremely;only;incidentally psst box;252-366-3366 x9726;Zackary_Carroll93@yahoo.com;if paralyse;30891;false
2;defiantly side limply;a;mmm which;frightening because;(669) 568-6240 x243;Marjolaine68@hotmail.com;hm darn what;2932;true
3;sheepishly partial for;desist quintessential limply;once permission scarcely;and noisily;959.741.1083;Viva41@gmail.com;match;18042;true
4;calibre weak eek;rich titrate debase;schematise especially;infrastructure;1-528-257-4456 x251;Tommie.Kilback44@yahoo.com;rich interpret rocket;29418;true
5;padlock besides;unpleasant;deputy;bronze;395.659.1312 x396;Marielle.Bahringer22@yahoo.com;modulo;17167;true
6;grow stamina after;acre;absentmindedly consist;ew;1-476-416-1497;Timmothy.Reichert@gmail.com;unkempt likewise ew;19135;false
7;yum er;poor wonder aim;step-daughter;gee;1-556-544-6604 x1523;Alexys56@gmail.com;shakily;7585;true
8;while;smother gosh;yet duh;blue aw mechanically;944-807-4503;Noble.White56@hotmail.com;but gah;1225;true
9;anti below;aside below;excitable pace how;taro sugary tricky;1-252-774-3053 x5758;Maynard69@yahoo.com;oh unpleasant rich;23055;true
10;life churn mortally;yieldingly abdomen law;sharply;mainstream yet insistent;(871) 885-0250 x199;Earnest.Torp@hotmail.com;gah partnership;15200;true
